Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
305,BG,2022,LNDC,m,1,77,5,0.1515,0.188,0.006,1,0.009,1.116,14.886
306,BG,2022,LSSU,m,1,470,1215,0.1124,0.071,0.029,0.346,0.033,0.947,13.57
307,BG,2022,LSSU,g,1,470,1215,0.1375,0.266,0.017,0.539,0.003653829,0.444,10.286
308,BG,2022,LSSU,g,2,430,880,0.1217,0.109,0.564,2.867,0.035,0.779,26.39
309,BG,2022,LSSU,m,2,430,880,0.1487,0.195,0.109,0.785,0.59,0.703,22.13
310,BG,2022,LL,g,1,320,265,0.08,0.039,0.067,0.895,0.011,0.492,14.266
311,BG,2022,LL,m,1,320,265,0.0509,0.239,0.007,0.818,0.008,0.521,12.661
312,BG,2022,LL,m,2,292,275,0.1449,0.262,0.17,3.447,0.205,0.496,31.318
313,BG,2022,LL,m,6,366,450,0.0977,0.221,0.107,1.588,0.151,0.497,30.586
314,BG,2022,LL,g,6,366,450,0.0881,0.399,0.009,1.33,0.003653829,0.293,17.4
315,BG,2022,LL,g,4,429,640,0.1445,0.05,0.024,0.922,0.084,0.2,33.968
316,BG,2022,LL,m,4,429,640,0.1474,0.315,0.011,1.188,0.003653829,0.865,25.412
317,BG,2022,LL,g,3,301,280,0.1218,0.214,0.001039416,0.693,0.003653829,0.771,14.959
318,BG,2022,LL,m,3,301,280,0.1089,0.078,0.003,0.673,0.003653829,0.57,14.473
319,BG,2022,LL,g,2,292,275,0.143,0.083,0.004,0.698,0.003653829,0.516,14.738
320,BG,2022,MWF,l,11,435,750,0.071,0.087,0.049,1.3,0.186,0.455,69.282
321,BG,2022,MWF,g,11,435,750,0.1195,0.142,0.034,4.082,0.112,0.623,42.668
322,BG,2022,MWF,m,11,435,750,0.1512,1.021,0.004,0.891,0.008,1.042,22.522
323,BG,2022,MWF,m,8,361,460,0.401,0.148,0.028,2.245,0.112,0.426,51.71
324,BG,2022,MWF,l,8,361,460,0.4466,0.388,0.004,0.959,0.003653829,0.837,23.636
325,BG,2022,MWF,g,8,361,460,0.3021,0.073,0.027,10.264,0.045,0.277,58.998
326,BG,2022,MWF,g,10,430,815,0.3861,0.231,0.226,2.652,0.071,1.832,33.575
327,BG,2022,MWF,m,10,430,815,0.3315,0.089,0.113,0.796,0.292,2.966,20.546
328,BG,2022,MWF,l,10,430,815,0.2868,0.168,0.015,0.889,0.018,0.81,13.126
329,BG,2022,MWF,l,2,452,955,0.4045,0.196,0.005,0.909,0.01,0.902,13.102
330,BG,2022,MWF,m,2,452,955,0.3819,0.187,0.215,1.765,0.038,2.512,50.067
331,BG,2022,MWF,g,2,452,955,0.4958,0.253,0.11,1.585,0.317,2.952,31.932
332,BG,2022,MWF,m,1,426,762,0.3504,0.085,0.184,0.823,0.201,0.837,16.934
333,BG,2022,MWF,l,1,426,762,0.2442,0.228,0.025,0.795,0.003653829,0.803,17.431
334,BG,2022,MWF,g,1,426,762,0.4472,0.214,0.573,2.673,0.052,1.573,52.569
335,BG,2021,LSSU,m,15,534,1700,0.2579,0.076,0.295,1.965,0.054,2.025,21.46
336,BG,2021,LSSU,l,14,174,65,0.2806,0.125,0.005,0.602,0.003653829,0.54,8.285
337,BG,2021,LSSU,g,15,534,1700,0.1453,0.12,0.04,0.679,0.367,0.968,17.88
338,BG,2021,LL,m,2,390,625,0.1034,0.141,0.003,0.417,0.029,0.352,5.62
339,BG,2021,LL,l,10,205,95,0.0936,0.107,0.372,3.157,0.049,4.019,31.854
340,BG,2021,LL,m,10,205,95,0.0567,0.1,0.054,1.015,0.119,1.3,20.485
341,BG,2021,LL,g,10,205,95,0.1465,0.15,0.022,1.095,0.028,0.648,24.566
342,BG,2021,LL,m,9,280,230,0.1499,0.027,0.012,0.808,0.009,0.078,4.188
343,BG,2021,LL,g,9,280,230,0.069,0.11,0.187,1.996,0.193,0.388,16.242
344,BG,2021,LL,l,9,280,230,0.1283,0.279,0.001039416,0.982,0.003653829,0.649,15.437
345,BG,2021,LL,l,8,150,35,0.0875,0.335,0.188,27.383,0.056,1.702,70.031
346,BG,2021,LL,g,8,150,35,0.1072,1.775,0.006,1.056,0.009,1.381,24.043
347,BG,2021,LL,m,8,150,35,0.1125,0.15,0.047,0.935,0.101,0.509,31.839
348,BG,2021,LL,m,7,198,80,0.1182,0.555,0.003,0.802,0.01,0.622,12.513
349,BG,2021,LL,l,7,198,80,0.1211,0.447,0.122,1.875,0.297,0.332,62.879
350,BG,2021,LL,g,7,198,80,0.874,0.079,0.088,17.153,0.035,0.687,41.808
351,BG,2021,LSSU,m,14,174,65,0.1397,0.104,0.018,0.895,0.125,0.201,26.678
352,BG,2021,LNSU,g,3,205,85,0.1483,0.301,0.001039416,0.458,0.003653829,0.524,11.897
353,BG,2021,LNSU,m,3,205,85,0.1294,1.226,0.005,3.466,0.003653829,0.909,22.187
354,BG,2021,RSSH,wb,1,20,0.61,0.0827,0.336,0.202,89.49,0.058,2.247,58.782
355,BG,2021,RSSH,wb,2,20,0.79,0.1479,0.194,0.038,1.687,0.297,0.329,45.434
356,BG,2021,RSSH,wb,3,20,0.67,0.0636,0.237,0.005,0.624,0.003653829,0.43,23.252
357,BG,2021,RSSH,wb,4,20,0.57,0.3923,0.099,0.043,1.882,0.058,0.3,10.939
358,BG,2021,RSSH,wb,5,20,0.51,0.4368,0.342,0.008,0.713,0.003653829,0.455,14.168
400,GC,2021,LL,l,4,181,70,0.4011,0.636,0.054,4.493,0.592,0.536,46.025
401,GC,2021,LL,g,4,181,70,0.3975,0.689,0.108,6.353,0.825,0.9,70.299
402,GC,2021,LL,g,3,175,60,0.3436,0.38,0.043,3.143,0.339,0.515,40.215
403,GC,2021,LL,l,1,281,210,0.3314,0.365,0.08,3.736,0.344,0.551,46.599
404,GC,2021,LL,l,3,175,60,0.2696,0.492,0.053,2.856,0.288,0.457,43.533
405,GC,2022,LL,g,8,218,105,0.2803,0.1,0.112,35.427,0.074,2.471,41.036
406,GC,2022,LL,m,11,377,525,0.3335,0.073,0.014,0.801,0.094,0.498,30.692
407,GC,2022,LL,m,12,190,70,0.2909,0.273,0.027,2.386,0.327,0.466,39.587
408,BG,2021,MWF,g,2,170,45,0.2601,0.058,0.08,12.359,0.003653829,0.504,18.483
